Prediction 	 Actual
Iris-setosa 	 Iris-setosa
Iris-setosa 	 Iris-setosa
Iris-setosa 	 Iris-setosa
Iris-setosa 	 Iris-setosa
Iris-setosa 	 Iris-setosa
Iris-setosa 	 Iris-setosa
Iris-setosa 	 Iris-setosa
Iris-setosa 	 Iris-setosa
Iris-setosa 	 Iris-setosa
Iris-setosa 	 Iris-setosa
Iris-versicolour 	 Iris-versicolor
Iris-versicolour 	 Iris-versicolor
Iris-versicolour 	 Iris-versicolor
Iris-versicolour 	 Iris-versicolor
Iris-versicolour 	 Iris-versicolor
Iris-versicolour 	 Iris-versicolor
Iris-versicolour 	 Iris-versicolor
Iris-versicolour 	 Iris-versicolor
Iris-versicolour 	 Iris-versicolor
Iris-versicolour 	 Iris-versicolor
Iris-virginica 	 Iris-virginica
Iris-virginica 	 Iris-virginica
Iris-virginica 	 Iris-virginica
Iris-virginica 	 Iris-virginica
Iris-versicolour 	 Iris-virginica
Iris-virginica 	 Iris-virginica
Iris-virginica 	 Iris-virginica
Iris-virginica 	 Iris-virginica
Iris-virginica 	 Iris-virginica
Iris-virginica 	 Iris-virginica
